Tanggal,Media,Topik,Topik_Cleaned
7-Nov-22,Instagram,Alamat kantor Percasi,alamat kantor percasi
8-Nov-22,Twitter,LPJU mati,lpju mati
8-Nov-22,Facebook Pemkab Sleman,Konsultasi permasalahan Akta Kelahiran,konsultasi permasalahan akta kelahiran
8-Nov-22,Twitter,Baliho mau copot,baliho copot
8-Nov-22,Lapor Sleman,Melanggar GSB,melanggar gsb
9-Nov-22,Lapor Sleman,"Jalan Utama Desa Poton, Sariharjo, Ngaglik Sleman Rusak.",jalan utama desa poton sariharjo ngaglik rusak
9-Nov-22,Lapor Sleman,WIFI LEMOT,wifi lemot
10-Nov-22,Lapor Sleman,Pencemaran,pencemaran
10-Nov-22,Lapor Sleman,Web Capil Tidak Berfungsi,web capil berfungsi
10-Nov-22,Facebook Pemkab Sleman,Jalan umum dijadikan bangunan permanen,jalan umum dijadikan bangunan permanen
10-Nov-22,Lapor Sleman,Permukaan Jalan Yang Lebih Tinggi,permukaan jalan lebih tinggi
10-Nov-22,Website,Gangguan suara,gangguan suara
10-Nov-22,Instagram,Informasi vaksin,vaksin
11-Nov-22,Lapor Sleman,Gangguan ODGJ,gangguan odgj
11-Nov-22,Lapor Sleman,Kabel Telekomunikasi,kabel telekomunikasi
11-Nov-22,Website,Layanan Puskesmas Mlati 2,layanan puskesmas mlati
11-Nov-22,Website,Gangguan kenyamanan,gangguan kenyamanan
11-Nov-22,Twitter,Aduan,aduan
11-Nov-22,Instagram,Jalan berlubang,jalan berlubang
12-Nov-22,Lapor Sleman,Lampu PJU Jalan Kaliurang Km 15-16 Mati,lampu pju jalan kaliurang mati
12-Nov-22,Lapor Sleman,Jaringan Kabel Telekomunikasi Yang Terlalu Rendah,jaringan kabel telekomunikasi terlalu rendah
12-Nov-22,Lapor Sleman,Jalan Berlubang Di Jln Amarta,jalan berlubang jln amarta
12-Nov-22,Lapor Sleman,Jalan Langganan Genangan Bila Hujan Di Dpn Hotel Aveon,jalan langganan genangan bila hujan dpn hotel aveon
12-Nov-22,Twitter,Informasi vaksin,vaksin
12-Nov-22,Facebook Pemkab Sleman,Jalan berlubang,jalan berlubang
13-Nov-22,Lapor Sleman,Surat Warga,surat warga
13-Nov-22,Lapor Sleman,Pohon Menjorok Ke Jalan Raya,pohon menjorok jalan raya
13-Nov-22,Lapor Sleman,Lampu Cembung Sudah Rusak,lampu cembung rusak
13-Nov-22,Lapor Sleman,Lampu Penerangan Jalan Mati,lampu penerangan jalan mati
13-Nov-22,Lapor Sleman,Menghabiskan anggaran,menghabiskan anggaran
13-Nov-22,Lapor Sleman,Permohonan pemangkasan pohon,permohonan pemangkasan pohon
13-Nov-22,Facebook Grup ICJ,Pelayanan Puskesmas Berbah,pelayanan puskesmas berbah
13-Nov-22,Instagram,Informasi vaksin,vaksin
13-Nov-22,Instagram,Jalan berlubang,jalan berlubang
13-Nov-22,Instagram,Suntik mountex,suntik mountex
14-Nov-22,Instagram,Pelayanan kalurahan sambirejo,pelayanan kalurahan sambirejo
14-Nov-22,Lapor Sleman,Jalan Berlubang,jalan berlubang
14-Nov-22,Lapor Sleman,Vaksinasi Masal Yang Tidak Segera Terupdate Di Aplikasi Peduli Lindungi,vaksinasi masal segera terupdate aplikasi peduli lindungi
14-Nov-22,Website,Pelayanan kalurahan sambirejo,pelayanan kalurahan sambirejo
14-Nov-22,Lapor Sleman,Surat Warga,surat warga
14-Nov-22,Instagram,Informasi vaksin,vaksin
14-Nov-22,Instagram,Informasi bantuan WC,bantuan wc
15-Nov-22,Lapor Sleman,Jalan berlubang,jalan berlubang
15-Nov-22,Lapor Sleman,Suara Mesin Diesel Pencacah Plastik Berisik Sekali,suara mesin diesel pencacah plastik berisik sekali
15-Nov-22,Lapor Sleman,Jalan Berlubang,jalan berlubang
15-Nov-22,Facebook Pemkab Sleman,Prosedur pindah keluar,prosedur pindah keluar
16-Nov-22,Lapor Sleman,Jalan Berlubang,jalan berlubang
16-Nov-22,Website,Pengolahan sampah yang menimbulkan polusi,pengolahan sampah menimbulkan polusi
16-Nov-22,Twitter,Jalan berlubang,jalan berlubang
16-Nov-22,Website,Perpanjang izin penelitian,perpanjang izin penelitian
16-Nov-22,Lapor Sleman,Surat Warga,surat warga
16-Nov-22,Instagram,Informasi pasar malam denggung,pasar denggung
16-Nov-22,Twitter,PJU mati,pju mati
16-Nov-22,Website,Pembangunan drainase,pembangunan drainase
16-Nov-22,Twitter,Informasi menyewa gedung tridadi,menyewa gedung tridadi
16-Nov-22,Twitter,Jalur lambat jalan padjajaran,jalur lambat jalan padjajaran
16-Nov-22,Twitter,Drainase jalan padjajaran,drainase jalan padjajaran
16-Nov-22,Instagram,Drainase jalan magelang,drainase jalan magelang
17-Nov-22,Lapor Sleman,Jalan Padjajaran Hingga DEPAN AMIKOM BANJIR,jalan padjajaran hingga depan amikom banjir
17-Nov-22,Lapor.go.id,"Banjir di Jalan Perumnas Condongsari, Ngropoh, Condongcatur, Depok, Sleman, DIY",banjir jalan perumnas condongsari ngropoh condongcatur depok diy
17-Nov-22,Twitter,Sampah di pinggir jalan,sampah pinggir jalan
17-Nov-22,SMS Hotline,Drainase jalan padjajaran,drainase jalan padjajaran
17-Nov-22,Lapor Sleman,Selokan Mampet Total,selokan mampet total
17-Nov-22,Lapor Sleman,Lampu PJU Flyover Padam,lampu pju flyover padam
17-Nov-22,Lapor Sleman,Air Menggenang,air menggenang
18-Nov-22,Lapor Sleman,Jalanan Rusak,jalanan rusak
18-Nov-22,Email,Informasi magang,magang
18-Nov-22,Instagram,Informasi ekstensi humas,ekstensi humas
18-Nov-22,Lapor Sleman,Pelayanan Tidak Ramah Dan Terkesan Menyepelekan Dan Menertawakan,pelayanan ramah terkesan menyepelekan menertawakan
18-Nov-22,Twitter,Jalan Padjajaran tidak rata,jalan padjajaran rata
18-Nov-22,Twitter,Jalan Padjajaran berlubang,jalan padjajaran berlubang
18-Nov-22,Twitter,Jalan berlubang,jalan berlubang
18-Nov-22,Website,Jalan provinsi berlubang,jalan provinsi berlubang
18-Nov-22,Instagram,Jalur lambat jalan padjajaran,jalur lambat jalan padjajaran
18-Nov-22,Instagram,Informasi vaksin,vaksin
19-Nov-22,Website,Permohonan rekaman CCTV,permohonan rekaman cctv
19-Nov-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
19-Nov-22,Twitter,Informasi jasa pengambilan sampah,jasa pengambilan sampah
19-Nov-22,Lapor Sleman,Turap Selokan Mataram,turap selokan mataram
19-Nov-22,Instagram,Pedafaran BPJS pemerintah,pedafaran bpjs pemerintah
19-Nov-22,Instagram,RS rujukan BPJS,rs rujukan bpjs
19-Nov-22,Twitter,Masjid menggunakan pengeras suara sampai malam,masjid menggunakan pengeras suara
20-Nov-22,Lapor Sleman,Lampu Jalan Jombor - Kronggahan Mati Lagi,lampu jalan jombor kronggahan mati
20-Nov-22,Lapor Sleman,Bau Limbah Ternak Babi,bau limbah ternak babi
20-Nov-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
20-Nov-22,Twitter,Jalan berlubang,jalan berlubang
20-Nov-22,Website,PJU mati,pju mati
21-Nov-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
21-Nov-22,Lapor Sleman,Indikasi Limbah B3 Masuk Ke Tanah Dan Irigasi,indikasi limbah b masuk tanah irigasi
21-Nov-22,Facebook Pemkab Sleman,PJU mati,pju mati
21-Nov-22,Lapor Sleman,Lampu Pju Mati,lampu pju mati
21-Nov-22,Instagram,Informasi vaksin,vaksin
22-Nov-22,Website,Jalan provinsi berlubang,jalan provinsi berlubang
22-Nov-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
22-Nov-22,Instagram,Harga gas naik,harga gas naik
22-Nov-22,Website,Gangguan kenyamanan,gangguan kenyamanan
23-Nov-22,Lapor Sleman,Pohon Pelindung Terlalu Rimbun,pohon pelindung terlalu rimbun
23-Nov-22,Instagram,Pembersihan sampah dilapangan denggung,pembersihan sampah dilapangan denggung
23-Nov-22,Website,Jalan berlubang,jalan berlubang
23-Nov-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
23-Nov-22,Twitter,Truk pelanggar rambu di simapng turi,truk pelanggar rambu simapng turi
23-Nov-22,Lapor Sleman,Penopang Jembatan Ambrol,penopang jembatan ambrol
23-Nov-22,Lapor Sleman,Pipa PDAM Sleman Bocor,pipa pdam bocor
24-Nov-22,Lapor Sleman,"Penutupan Jalan Akses Oleh Oknum, Sehingga Tidak Bisa Digunakan Untuk Lewat",penutupan jalan akses oknum digunakan lewat
24-Nov-22,Website,Bantuan PKH,bantuan pkh
24-Nov-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
25-Nov-22,Lapor Sleman,Pemangkasan Pohon,pemangkasan pohon
25-Nov-22,Website,Jalan magelang banjir,jalan magelang banjir
25-Nov-22,Website,Jalan provinsi berlubang,jalan provinsi berlubang
25-Nov-22,Lapor Sleman,Jalan Berlubang Besar Dan Dalam,jalan berlubang besar
25-Nov-22,Lapor Sleman,Surat Warga,surat warga
25-Nov-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
25-Nov-22,Twitter,Cek data bansos,cek data bansos
25-Nov-22,Lapor Sleman,Jalan Berlubang,jalan berlubang
25-Nov-22,Lapor Sleman,Lampu PJU Mati,lampu pju mati
25-Nov-22,Instagram,Gril drainase,gril drainase
25-Nov-22,Instagram,Pengumuman PPPK,pengumuman pppk
26-Nov-22,Twitter,Jalan berlubang,jalan berlubang
26-Nov-22,Lapor Sleman,Parkir Tanpa Ijin Daerah,parkir ijin
27-Nov-22,Lapor Sleman,Pembangunan Spbu Mangkrak Berbahaya Untuk Lingkungan,pembangunan spbu mangkrak berbahaya lingkungan
27-Nov-22,Lapor Sleman,Lampu Penerangan Jalan Mati,lampu penerangan jalan mati
27-Nov-22,Instagram,LPJU ring road dan Jalan kabupaten berlubang,lpju ring road jalan berlubang
27-Nov-22,Website,Data BUMD,data bumd
27-Nov-22,Instagram,Pemuda berpretasi,pemuda berpretasi
27-Nov-22,Instagram,Jalan berlubang,jalan berlubang
28-Nov-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
28-Nov-22,Lapor Sleman,Pelayanan Bapil (Batuk Pilek) Buruk.,pelayanan bapil batuk pilek buruk
28-Nov-22,Twitter,Kontak BKAD,kontak bkad
28-Nov-22,Twitter,Pendaftaran PPK,pendaftaran ppk
28-Nov-22,Instagram,PKH,pkh
28-Nov-22,Instagram,Jalan provinsi berlubang,jalan provinsi berlubang
28-Nov-22,Lapor Sleman,Dukcapil Online Tidak Bisa Diakses,dukcapil online diakses
28-Nov-22,Lapor Sleman,Tidak Transparansi Tentang Pemilihan Pamong Di Kelurahan Condongcatur,transparansi pemilihan pamong kelurahan condongcatur
28-Nov-22,Lapor Sleman,Jalan Berlubang,jalan berlubang
28-Nov-22,Facebook Pemkab Sleman,Bantuan sosial,bantuan sosial
29-Nov-22,Lapor Sleman,"Jalan Kapten Haryadi , Mirip Jalan Wisata Jeep Kali Adem",jalan kapten haryadi mirip jalan wisata jeep kali adem
29-Nov-22,Twitter,Aliran PDAM,aliran pdam
29-Nov-22,Website,Aliran PDAM,aliran pdam
29-Nov-22,Instagram,Informasi magang,magang
29-Nov-22,Lapor Sleman,ODGJ Di Sekitar Pasar Godean,odgj pasar godean
29-Nov-22,Lapor Sleman,Pelayanan Petugas Kecamatan,pelayanan petugas kecamatan
29-Nov-22,Twitter,Antrian puskesmas godean,antrian puskesmas godean
29-Nov-22,Lapor Sleman,Laporan Jalan Berlubang Di Jl. Pulowatu-Turi,laporan jalan berlubang jl pulowatuturi
29-Nov-22,Instagram,Izin penelitian,izin penelitian
29-Nov-22,Lapor Sleman,Jalan Berlubang,jalan berlubang
29-Nov-22,Lapor Sleman,Bansos Yang Tidak Tepat Sasaran,bansos tepat sasaran
29-Nov-22,Instagram,Gorong gorong tersumbat,gorong gorong tersumbat
30-Nov-22,Lapor Sleman,Pbg,pbg
30-Nov-22,Lapor Sleman,Pohon Perindang Ringroad Dowangan,pohon perindang ringroad dowangan
30-Nov-22,Twitter,Informasi vaksin,vaksin
30-Nov-22,Instagram,Informasi vaksin,vaksin
30-Nov-22,Instagram,Perubahan data KTP,perubahan data ktp
30-Nov-22,Lapor.go.id,Bantuan blt bbm,bantuan blt bbm
30-Nov-22,Twitter,Pelanggaran rambu lalu lintas,pelanggaran rambu lalu lintas
30-Nov-22,Twitter,Jalan provinsi belubang,jalan provinsi belubang
30-Nov-22,Lapor Sleman,Bantuan Tidak Tepat Sasaran,bantuan tepat sasaran
1-Dec-22,Instagram,Informasi prosedur kunjungan,prosedur kunjungan
1-Dec-22,Twitter,Jalan berlubang,jalan berlubang
1-Dec-22,Lapor.go.id,Tenaga Parkir Pasar Caturtunggal Yg Tidak Sesuai UMR,tenaga parkir pasar caturtunggal sesuai umr
1-Dec-22,Website,PBG,pbg
1-Dec-22,Website,Sertifikat tanah,sertifikat tanah
1-Dec-22,Website,Manfaat kartu miskin,manfaat kartu miskin
1-Dec-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
2-Dec-22,Lapor Sleman,"Jalan Berlubang, Gorong Gorong Ambles Dan Jalan Sempit",jalan berlubang gorong gorong ambles jalan sempit
2-Dec-22,Lapor Sleman,Jalan Asem Gede Sudah Tidak Layak Dilewati,jalan asem gede layak dilewati
2-Dec-22,Lapor Sleman,Biaya Administrasi Kampung,biaya administrasi kampung
2-Dec-22,Twitter,Jalan provinsi berlubang,jalan provinsi berlubang
2-Dec-22,Lapor Sleman,Jalan Rusak Dan Berlubang,jalan rusak berlubang
2-Dec-22,Lapor Sleman,Limbah dari SCH,limbah sch
3-Dec-22,Lapor Sleman,Gorong-gorong,goronggorong
3-Dec-22,Lapor Sleman,Listrik Down,listrik down
3-Dec-22,Lapor Sleman,Live Musik Cafe Bawah Langit Setiap Hari Yang Menggangu Warga Dan Membuat Kebisingan Yang Berlokasi Di Jl. Kaliurang Timur Gantalan Minomartani Ngaglik Sleman,live musik cafe bawah langit hari menggangu warga membuat kebisingan berlokasi jl kaliurang timur gantalan minomartani ngaglik
3-Dec-22,Lapor Sleman,Cari STB Gratis,cari stb gratis
3-Dec-22,Instagram,Gangguan parkir,gangguan parkir
3-Dec-22,Website,Pelayanan PBG,pelayanan pbg
4-Dec-22,Twitter,Parkir Hotel grand tjokro di jalan affandi,parkir hotel grand tjokro jalan affandi
4-Dec-22,Instagram,Permohonan fogging,permohonan fogging
4-Dec-22,Lapor Sleman,Surat Warga,surat warga
4-Dec-22,Lapor Sleman,E-KTP Gak Jadi Jadi...,ektp jadi jadi
4-Dec-22,Facebook Pemkab Sleman,Informsai lokasi pembuangan sampah,informsai lokasi pembuangan sampah
5-Dec-22,Facebook Pemkab Sleman,Pelayanan Dinas Dukcapil,pelayanan dinas dukcapil
5-Dec-22,Lapor Sleman,Vaksin,vaksin
5-Dec-22,Lapor Sleman,Jalan Berlubang,jalan berlubang
5-Dec-22,Lapor Sleman,BANJIR,banjir
5-Dec-22,Lapor Sleman,Mobil Keluar Masuk Toko Bakpia Jalan Monjali 115 Semrawut,mobil keluar masuk toko bakpia jalan monjali semrawut
5-Dec-22,Lapor Sleman,Nama Di PBB Berubah,nama pbb berubah
5-Dec-22,Instagram,Jalan berlubang,jalan berlubang
5-Dec-22,Instagram,Akta kelahiran online,akta kelahiran online
5-Dec-22,Website,Bantuan STB,bantuan stb
5-Dec-22,Instagram,Penyaluran bantuan baju bekas untuk korban bencana,penyaluran bantuan baju bekas korban bencana
6-Dec-22,SMS Hotline,Parkir dijalan sempit,parkir dijalan sempit
6-Dec-22,Website,Bantuan STB,bantuan stb
6-Dec-22,Lapor Sleman,Sertifikat Vaksin Belum Keluar Sejak Agustus,sertifikat vaksin keluar sejak agustus
6-Dec-22,Lapor Sleman,Lampu Mati,lampu mati
6-Dec-22,Lapor Sleman,Jalan Berlubang Sepanjang Jalan Kapten Haryadi Dan Jalan Umbul Permai,jalan berlubang sepanjang jalan kapten haryadi jalan umbul permai
8-Dec-22,Lapor.go.id,Bantuan Pemerintah,bantuan pemerintah
8-Dec-22,Lapor.go.id,Keributan Satu Keluarga di Rusunawa Dabag,keributan satu keluarga rusunawa dabag
8-Dec-22,Instagram,Gelar pangan murah,gelar pangan murah
8-Dec-22,Facebook Pemkab Sleman,STB,stb
8-Dec-22,Lapor Sleman,Perijinan,perijinan
8-Dec-22,Website,Seng papan reklame yang sudah mulai lepas,seng papan reklame mulai lepas
8-Dec-22,Twitter,Jalan berlubang,jalan berlubang
9-Dec-22,Lapor Sleman,Pelayanan,pelayanan
9-Dec-22,Lapor Sleman,Sering Terjadi Kecelakaan Lalu Lintas Di Ruas Jalan Raya Purwomartani,sering terjadi kecelakaan lalu lintas ruas jalan raya purwomartani
9-Dec-22,Website,Jalan Rusak Dan Berlubang,jalan rusak berlubang
9-Dec-22,Website,Penataan jalan protokol dan nasional agar dipercantik,penataan jalan protokol nasional dipercantik
10-Dec-22,Lapor Sleman,Standarisasi Kantor Pelayanan Di Kelurahan,standarisasi kantor pelayanan kelurahan
10-Dec-22,Lapor Sleman,Lampu PJU Depan Griya Kuantan Sampai Terminal Jombor Mati,lampu pju depan griya kuantan terminal jombor mati
10-Dec-22,Website,Jalan Rusak Dan Berlubang,jalan rusak berlubang
10-Dec-22,Lapor.go.id,Jalan rusak berlubang,jalan rusak berlubang
11-Dec-22,Website,Pembangunan gedung DPMPPt ( perijinan ),pembangunan gedung dpmppt perijinan
12-Dec-22,Lapor.go.id,"Pengaduan Jalan Rusak di Gg. Megatruh, Pogung Kidul, Sinduadi, Mlati",pengaduan jalan rusak gg megatruh pogung kidul sinduadi mlati
12-Dec-22,Lapor Sleman,PJU mati,pju mati
12-Dec-22,Lapor Sleman,Proyek The Panorama Resort,proyek the panorama resort
12-Dec-22,Lapor Sleman,Biaya Study Tour,biaya study tour
13-Dec-22,Website,Data Demografi Kalurahan,data demografi kalurahan
13-Dec-22,Facebook Pemkab Sleman,Sinkronisasi NIK,sinkronisasi nik
14-Dec-22,Lapor Sleman,Dukcapil,dukcapil
14-Dec-22,Lapor Sleman,Jalan Berlubang,jalan berlubang
14-Dec-22,Lapor Sleman,Jalan Berlubang / Retak,jalan berlubang retak
14-Dec-22,Twitter,Pungutan dana masyarakat,pungutan dana masyarakat
15-Dec-22,Lapor Sleman,Pemasangan Tiang Internet,pemasangan tiang internet
15-Dec-22,Lapor Sleman,Urip Neng Sleman DIY Ya Etikanya Kendaraan Plat AB,urip neng diy etikanya kendaraan plat ab
16-Dec-22,Lapor Sleman,Pijat Plus Plus,pijat plus plus
16-Dec-22,Lapor Sleman,CADDY PADANG GOLF ADISUCIPTO,caddy padang golf adisucipto
16-Dec-22,Twitter,Jalan rusak,jalan rusak
17-Dec-22,Twitter,Jalan rusak,jalan rusak
17-Dec-22,Twitter,Pindah datang,pindah datang
17-Dec-22,Lapor Sleman,Lampu PJU Depan Griya Kuantan Bolak Balik Mati,lampu pju depan griya kuantan bolak balik mati
17-Dec-22,Lapor Sleman,Lampu Pengatur Lalu Lintas Mati Di Saat Jam Normal,lampu pengatur lalu lintas mati jam normal
17-Dec-22,Twitter,Survei UMKM,survei umkm
18-Dec-22,Lapor Sleman,Pelayanan Kecamatan Sleman,pelayanan kecamatan
18-Dec-22,Lapor Sleman,Taman Lapangan Denggung Menjadi Berbahaya,taman lapangan denggung menjadi berbahaya
19-Dec-22,Website,Permohonan pemangkasan pohon,permohonan pemangkasan pohon
19-Dec-22,Lapor Sleman,"Bau Sampah , Bau Asap Plastik & Lingkungan Tidak Sehat Serta Kumuh",bau sampah bau asap plastik lingkungan sehat kumuh
19-Dec-22,Instagram,Permohonan informasi / audiens,permohonan audiens
19-Dec-22,Twitter,Kontak dinsos,kontak dinsos
19-Dec-22,Twitter,Informasi vaksin,vaksin
20-Dec-22,Instagram,Penyebrangan di jalan solo berbahaya dan minim penerangan,penyebrangan jalan solo berbahaya minim penerangan
20-Dec-22,Lapor Sleman,Kabel Terlalu Turun Kebawah,kabel terlalu turun kebawah
20-Dec-22,Lapor Sleman,Petugas Pelayanan Di BKAD,petugas pelayanan bkad
20-Dec-22,Instagram,Informasi magang,magang
21-Dec-22,Twitter,reklame diatas jalan kaliurang,reklame diatas jalan kaliurang
21-Dec-22,Lapor Sleman,Ingin Pindah KK,pindah kk
21-Dec-22,Lapor Sleman,Pemasangan Baliho Hingga Badan Jalan,pemasangan baliho hingga badan jalan
21-Dec-22,Lapor Sleman,Ketinggian Kabel Rendah,ketinggian kabel rendah
21-Dec-22,Lapor Sleman,Surat Warga,surat warga
21-Dec-22,Lapor Sleman,Pintu Toilet,pintu toilet
21-Dec-22,Lapor Sleman,Lampu Penerangan Jalan Mati,lampu penerangan jalan mati
22-Dec-22,SMS Hotline,Proses pindah datang,proses pindah datang
22-Dec-22,Instagram,Informasi PPPK,pppk
22-Dec-22,Instagram,Prosedur permohonan SHM,prosedur permohonan shm
22-Dec-22,Instagram,Lomba logo RSUD Prambanan,lomba logo rsud prambanan
22-Dec-22,Instagram,Telpon operator tidak nyambung,telpon operator nyambung
22-Dec-22,Facebook Pemkab Sleman,Pindah keluar,pindah keluar
22-Dec-22,Lapor Sleman,Lampu PJU Padam,lampu pju padam
22-Dec-22,Lapor Sleman,Lampu Penerangan Jalan Umum Mati,lampu penerangan jalan umum mati
23-Dec-22,Twitter,APILL mati,apill mati
23-Dec-22,Lapor.go.id,KTP Lama Jadi,ktp lama jadi
23-Dec-22,Lapor Sleman,Trotoar Pinggir Jalan Magelang Ambles,trotoar pinggir jalan magelang ambles
24-Dec-22,Twitter,Jalan berlubang,jalan berlubang
24-Dec-22,Lapor Sleman,Jalan Ambles,jalan ambles
24-Dec-22,Lapor Sleman,Pencemaran Lingkungan,pencemaran lingkungan
24-Dec-22,Lapor Sleman,Mobil AB 35 E Hari Ini Sabtu 24 Desember 2022 Digunakan Diluar Jam Kerja,mobil ab e hari sabtu desember digunakan diluar jam kerja
24-Dec-22,Lapor Sleman,Izin Usaha Menjual Minuman Beralkohol Offline Maupun Online,izin usaha menjual minuman beralkohol offline maupun online
24-Dec-22,Instagram,Informasi PPPK,pppk
25-Dec-22,Lapor Sleman,Galian Ambles Karena Air Hujan,galian ambles air hujan
25-Dec-22,Website,Jalan berlubang,jalan berlubang
26-Dec-22,Website,PBG,pbg
26-Dec-22,Lapor Sleman,Tebang Pohon,tebang pohon
26-Dec-22,Lapor Sleman,Lampu PJU Mati,lampu pju mati
26-Dec-22,Twitter,LPJU mati,lpju mati
26-Dec-22,Twitter,Jalan berlubang,jalan berlubang
27-Dec-22,Lapor Sleman,Saluran Irigasi Mampet,saluran irigasi mampet
27-Dec-22,Lapor Sleman,"Layanan Pengaduan Indhihome Tidak Bisa Di Telephon,",layanan pengaduan indhihome telephon
27-Dec-22,Lapor Sleman,Iuran Desa,iuran desa
27-Dec-22,Lapor Sleman,"Lubang Drainase Mampet ,tidak Berjalan Lancar",lubang drainase mampet berjalan lancar
27-Dec-22,Lapor Sleman,Tarif Parkir Mahal,tarif parkir mahal
27-Dec-22,Instagram,LPJU mati,lpju mati
27-Dec-22,Instagram,Informasi vaksin anak,vaksin anak
27-Dec-22,Instagram,Jarak minimal indomaret dan pasar tradisional,jarak minimal indomaret pasar tradisional
27-Dec-22,Facebook Pemkab Sleman,LPJU mati,lpju mati
27-Dec-22,Instagram,Listrik padam,listrik padam
28-Dec-22,Lapor Sleman,Jalan Berlubang,jalan berlubang
28-Dec-22,Lapor Sleman,Pengurusan PBG,pengurusan pbg
28-Dec-22,Lapor Sleman,Drainase Di Jl Raya Kayen-Blotan,drainase jl raya kayenblotan
28-Dec-22,Lapor Sleman,Surat Warga,surat warga
28-Dec-22,Lapor.go.id,"Infrastruktur jalan utama Berbah-Kalasan Kab. Sleman butuh perbaikan dan pengaspalan kembali karena kondisi sudah banyak yg berlubang, bergelombang tidak rata dan rusak sudah lama namun belum pernah ada tindak lanjut perubahan dan perbaikan sampai sekarang.",infrastruktur jalan utama berbahkalasan kab butuh perbaikan pengaspalan kondisi banyak berlubang bergelombang rata rusak lama pernah perubahan perbaikan sekarang
28-Dec-22,Lapor.go.id,Jalan Desa Sumber Lor (belakang SDN Sumber 2 - Kelurahan Kalitirto) belum diaspal seperti jalan desa yg lain. Mengapa harus dibeda-bedakan ada yg diaspal ada yg cuma dicor ? bukankah seharusnya memiliki hak yg sama ?alokasi anggaran dananya dikemanakan ?,jalan desa sumber lor belakang sdn sumber kelurahan kalitirto diaspal jalan desa dibedabedakan diaspal cuma dicor bukankah memiliki hak sama alokasi anggaran dananya dikemanakan
28-Dec-22,Instagram,Penutupan jalan roro jonggrang lapangan pemda sleman,penutupan jalan roro jonggrang lapangan pemda
28-Dec-22,Email,Membuat akta online,membuat akta online
28-Dec-22,Instagram,Informasi PPPK,pppk
28-Dec-22,Lapor.go.id,Lampu Lalin Mati 2 Sisi,lampu lalin mati sisi
28-Dec-22,Lapor Sleman,Pemanfaatan Tanah Kas Desa Dan Daerah Aliran Sungai (DAS),pemanfaatan tanah kas desa aliran sungai das
28-Dec-22,Lapor Sleman,Penerangan Lampu Jalan,penerangan lampu jalan
28-Dec-22,Twitter,LPJU mati di jalan jogja solo,lpju mati jalan solo
29-Dec-22,Lapor Sleman,Rawan Kecelakaan,rawan kecelakaan
29-Dec-22,Lapor Sleman,Layanan Pembuatan KTP Baru Di Kec Gedean Mengecewakan,layanan pembuatan ktp baru kec gedean mengecewakan
29-Dec-22,Lapor Sleman,Lampu Rambu Hati Hati,lampu rambu hati hati
29-Dec-22,Lapor Sleman,Lampu Jalan Mati,lampu jalan mati
29-Dec-22,Twitter,Jalan gelap tidak ada LPJU,jalan gelap lpju
29-Dec-22,Twitter,Informasi PPPK,pppk
30-Dec-22,Twitter,Informasi PPPK,pppk
30-Dec-22,Lapor Sleman,Mati Listrik,mati listrik
31-Dec-22,Lapor Sleman,Jalan Rusak Parah,jalan rusak parah
31-Dec-22,Lapor Sleman,Update Parkir Di Bahu Jalan GG. Serai Nologaten,update parkir bahu jalan gg serai nologaten
31-Dec-22,Instagram,Pelayanan RS Queen Latifa,pelayanan rs queen latifa
1-Jan-23,Facebook Pemkab Sleman,BLT,blt
2-Jan-23,Twitter,LPJU mati hidup,lpju mati hidup
2-Jan-23,Twitter,Permohonan salinan IMB,permohonan salinan imb
2-Jan-23,Instagram,Pelayanan PDAM,pelayanan pdam
2-Jan-23,Instagram,Jalan berlubang,jalan berlubang
2-Jan-23,Lapor Sleman,Lampu OJU Belum Juga Diperbaiki...jalan Umum Masih Gelap,lampu oju diperbaikijalan umum gelap
3-Jan-23,Instagram,Informasi PPPK,pppk
3-Jan-23,Lapor Sleman,Lampu PJU Mati,lampu pju mati
3-Jan-23,Lapor Sleman,Keluhan Pelayanan,keluhan pelayanan
3-Jan-23,Website,Informasi PPPK,pppk
3-Jan-23,Website,Prosedur pengeringan tanah,prosedur pengeringan tanah
3-Jan-23,Instagram,RTLH,rtlh
3-Jan-23,Facebook Pemkab Sleman,Informasi akta perkawinan,akta perkawinan
3-Jan-23,Facebook Pemkab Sleman,Wifi padukuhan,wifi padukuhan
4-Jan-23,Twitter,Jalan rusak,jalan rusak
4-Jan-23,Instagram,Informasi PPPK,pppk
4-Jan-23,Instagram,Parkir samsat,parkir samsat
4-Jan-23,Twitter,Informasi PPPK,pppk
4-Jan-23,Instagram,Jalan kaliurnag berlubang mengakibatkan kecelakaan,jalan kaliurnag berlubang mengakibatkan kecelakaan
4-Jan-23,Instagram,Peraturan pembuangan sampah,peraturan pembuangan sampah
4-Jan-23,Lapor Sleman,PBG,pbg
4-Jan-23,Instagram,Lowongan Tapem Sekda,lowongan tapem sekda
